,FibCassini_cpp,FibCassini_python,FibFormulaBig_string,FibFormula_python,FibFormula_string,FibLoop_cpp,FibLoop_python,FibLoop_string,FibMatrix_cpp,FibMatrix_python,FibMatrix_string,FibRecurDP_python,FibRecur_python
20,131111.05283769575,18222.214066554443,122222.16787449725,7555.552201665705,7555.552201665705,39999.98227754986,5777.775186288636,93333.29182936723,194666.58011424443,12444.438880265807,311555.4170562973,12888.883247796912,3183554.140719025
21,111111.06175576424,16888.88130502164,76888.85477818985,7111.107947821438,8888.884963198507,43999.98044846143,5333.330932444369,98666.6227618116,199111.02253900026,13333.327387954341,375555.38858669024,14222.215895642876,4333775.851705468
22,145333.26873333863,23111.100858841382,74222.18914143741,7999.996455509972,7111.107947821438,43111.091940772894,5777.775186288636,103555.50955409853,219999.9021286203,22666.656604997115,379555.38687128865,15555.548657175677,6787996.983121048
23,140888.8263085828,19111.102687929815,79111.07593372435,7555.552201665705,8444.44070935424,39111.09376986133,7555.552201665705,109333.28474038717,247111.0012720601,15111.10440333141,452444.2433648801,16444.437051177374,11716439.237147825
24,154222.15369653713,20444.435449462617,75555.52201665705,7555.552201665705,11555.55048626411,43111.091940772894,5333.331046131207,114666.61567283154,166222.14832295867,12444.438880265807,316888.7481024285,16888.88141870848,18588880.627248727
25,142222.15895642876,19555.546828087245,73333.30074743571,18666.658434085548,7555.552201665705,94666.62459090003,5777.775186288636,119555.50246511848,297333.20127434126,13777.771641798608,471555.3460528099,18222.214066554443,29723097.90084182
26,130666.60858385148,20888.879589620046,105333.2865694756,7111.107947821438,11111.106118733005,41777.75917924009,7111.107947821438,127111.05466678418,193333.24746639846,14222.215895642876,383999.8294097313,43111.091940772894,44916424.48158473
27,163999.92716742418,22222.212351152848,75999.96615681448,7111.107947821438,7555.552201665705,40888.87067155156,9333.329103355936,131999.9413453843,220888.79074999568,17333.325672552746,516444.21489527303,19111.102687929815,73789744.98237766
28,239111.00493023696,21777.76809730858,117777.72533605457,7555.552201665705,7111.107947821438,48888.86712706153,7999.996455509972,138666.60503936146,201777.6881757527,14222.215895642876,376888.72134822304,18222.21418024128,127749276.55596003
29,119111.05821127421,21333.323843464314,75111.07776281278,9777.773357200203,9333.329217042774,60888.86175348307,5777.775186288636,232444.34112257295,240888.7818319272,15999.992911019945,489333.1158655201,19999.991081931512,190391470.93712926
30,130222.16433000722,21777.76809730858,111999.95026345277,7555.552201665705,7555.552201665705,44444.424702305696,6666.663807664008,151555.48828715837,236888.78354732879,15111.10440333141,452444.2433648801,18222.214066554443,316126081.7217908
31,111111.06175576424,21333.323843464314,80888.85294910142,12444.438880265807,7555.552201665705,45777.7574638385,7111.107947821438,155999.93059822737,264444.326830926,16888.88130502164,582221.963441043,20888.879589620046,518273991.87823176
32,192888.8032125542,23555.54511268565,78666.63167988008,7555.552201665705,7555.552201665705,47999.978733059834,6666.663807664008,164444.3713075816,228444.34295166138,13333.327501641179,354666.5089970702,19111.102687929815,848269845.2133945
33,183999.9182493557,43999.98044846143,80888.85294910142,10666.661978575576,7111.107947821438,47999.978733059834,7555.552201665705,180888.80847244582,240888.7818319272,58222.196344104304,441777.58149999136,20444.43533577578,1337978960.8982265
34,163555.48279989307,23999.989366529917,74222.18914143741,7111.107947821438,7555.552201665705,59999.97335948137,6222.219440132903,177777.69869553595,199555.46679284453,23111.100858841382,420888.7017966845,17777.769812710176,
35,152888.82093500433,24444.433620374184,74222.18925512425,7555.552201665705,7555.552201665705,53333.309551817365,6666.663693977171,181777.69698013435,417777.59213346144,15999.992911019945,527999.7653815371,18222.21418024128,
36,187111.02791257872,27111.099143439787,75111.07776281278,7555.552201665705,7555.552201665705,77333.29891834728,6666.663693977171,189777.69343564432,290222.0933265198,15555.548657175677,410666.48418564,18222.21418024128,
37,140444.38205473853,27555.543397284055,98666.6227618116,7555.552201665705,7555.552201665705,48888.86724074837,7111.107947821438,195111.0243680887,232888.78537641722,17333.325672552746,526666.4326200043,24444.433620374184,
38,162222.1501520471,27999.987537441484,99999.95563703123,7555.552201665705,11555.55048626411,49777.755634750065,6222.219440132903,393777.6027669315,222222.12351152848,14222.216009329713,502221.99899963016,19999.991081931512,
39,134666.6068684499,26222.210635751253,84444.40697985556,7111.107947821438,17777.769926397013,51111.08839628287,6666.663693977171,244888.78000283876,261333.2172813898,15555.548657175677,618221.9475476814,19555.546941774082,
